                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.95468,                0.45807,                0.83545,                0.93298,                0.90845,                0.95835,                 0.6432,                 1.0501,                0.48277,                0.84865,              0.0003566,              0.0003566,              0.0003566
                     85,                0.94652,                0.45232,                0.83239,                0.92814,                0.91838,                0.95946,                0.64736,                 1.0408,                 0.4745,                0.84564,              0.0003368,              0.0003368,              0.0003368
                     86,                0.95233,                 0.4528,                0.83189,                0.94089,                0.90745,                0.95882,                0.64505,                  1.052,                 0.4774,                0.84755,               0.000317,               0.000317,               0.000317
                     87,                0.94598,                0.45173,                0.83333,                0.93919,                0.91134,                0.95933,                0.64939,                 1.0337,                0.47508,                0.84533,              0.0002972,              0.0002972,              0.0002972
                     88,                0.94478,                0.44866,                0.83032,                0.93786,                0.91043,                0.95975,                0.64756,                 1.0437,                0.47259,                0.84641,              0.0002774,              0.0002774,              0.0002774
                     89,                0.93085,                0.44427,                0.83223,                0.93247,                0.91986,                0.96113,                0.64836,                 1.0385,                0.46923,                0.84542,              0.0002576,              0.0002576,              0.0002576
                     90,                0.94276,                0.44855,                0.83051,                0.93686,                0.91297,                0.96164,                0.64706,                 1.0453,                 0.4705,                  0.846,              0.0002378,              0.0002378,              0.0002378
                     91,                0.94546,                0.44538,                0.83211,                0.93233,                0.91184,                0.95973,                0.66287,                0.99236,                0.46574,                0.84218,               0.000218,               0.000218,               0.000218
                     92,                  0.912,                0.43071,                0.82682,                0.94105,                0.91293,                0.96202,                 0.6686,                0.98758,                0.46017,                0.84122,              0.0001982,              0.0001982,              0.0001982
                     93,                0.89267,                0.42106,                0.82497,                0.93933,                0.91573,                0.96266,                0.67056,                0.97658,                0.45772,                0.83977,              0.0001784,              0.0001784,              0.0001784
                     94,                0.89452,                0.42517,                0.82304,                0.94324,                0.91283,                0.96252,                  0.672,                0.97793,                0.45718,                 0.8395,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.8911,                0.41818,                0.82568,                0.93624,                0.92087,                0.96327,                0.67211,                0.97504,                0.45639,                0.83971,              0.0001388,              0.0001388,              0.0001388
                     96,                0.88759,                0.41727,                0.82278,                0.94446,                0.91707,                0.96458,                0.67313,                0.96789,                0.45437,                0.83873,               0.000119,               0.000119,               0.000119
                     97,                0.87326,                0.41271,                0.82343,                0.94313,                0.91723,                0.96391,                0.67525,                0.96585,                0.45219,                0.83842,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.87735,                0.41384,                0.82202,                0.94497,                 0.9174,                0.96449,                0.67678,                0.96602,                0.45133,                0.83833,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.87283,                0.41105,                0.82063,                0.94043,                0.91924,                0.96365,                 0.6744,                0.96649,                0.45155,                0.83816,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.8583,                0.40519,                0.82154,                0.94077,                0.92031,                0.96421,                0.67784,                0.96056,                0.44874,                0.83762,               3.98e-05,               3.98e-05,               3.98e-05
